time (s), accel_x (m/s^2), accel_y (m/s^2), accel_z (m/s^2), gyro_x (rad/s), gyro_y (rad/s), gyro_z (rad/s), x (m), y (m), z (m), yaw (rad), pitch (rad), roll (rad), mocap_counter, counter, desired x, desired y, desired z, desired yaw
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0451, -0.0026, -0.0843, 0.0000, 0.0011, 0.0014, 188, 46042, -0.0016, -0.0000, 0.0010, 0.0000, 1.0601, 0.0135, -0.6586, 0.0000, 0.0000, 0.0000
0.0210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0449, -0.0024, -0.0841, -0.0000, 0.0010, 0.0015, 189, 46042, -0.0013, -0.0000, 0.0008, 0.0000, 1.0602, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.0410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0449, -0.0024, -0.0843, 0.0003, 0.0009, 0.0014, 190, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0137, -0.6587, 0.0000, 0.0000, 0.0000
0.0610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0025, -0.0842, -0.0000, 0.0014, 0.0017, 191, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.0810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0026, -0.0842, 0.0002, 0.0011, 0.0010, 192, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0602, 0.0135, -0.6586, 0.0000, 0.0000, 0.0000
0.1010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0449, -0.0025, -0.0843, 0.0001, 0.0010, 0.0015, 193, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.1210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0451, -0.0025, -0.0842, -0.0001, 0.0008, 0.0012, 194, 46042, -0.0013, -0.0000, 0.0008, 0.0000, 1.0602, 0.0137, -0.6586, 0.0000, 0.0000, 0.0000
0.1410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0452, -0.0027, -0.0843, -0.0001, 0.0006, 0.0012, 195, 46042, -0.0015, -0.0000, 0.0010, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.1610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0451, -0.0026, -0.0842, -0.0002, 0.0009, 0.0012, 196, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0602, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.1810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0452, -0.0026, -0.0842, -0.0001, 0.0009, 0.0013, 197, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0602, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.2010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0449, -0.0024, -0.0843, 0.0003, 0.0008, 0.0010, 198, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.2210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0025, -0.0842, -0.0001, 0.0013, 0.0016, 199, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0602, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.2410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0026, -0.0842, 0.0000, 0.0009, 0.0011, 200, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.2610, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0025, -0.0843, 0.0001, 0.0010, 0.0012, 201, 46042, -0.0014, -0.0000, 0.0009, 0.0000, 1.0602, 0.0137, -0.6586, 0.0000, 0.0000, 0.0000
0.2810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0025, -0.0842, 0.0000, 0.0012, 0.0015, 202, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0136, -0.6586, 0.0000, 0.0000, 0.0000
0.3010, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0026, -0.0842, 0.0001, 0.0007, 0.0006, 203, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0601, 0.0135, -0.6586, 0.0000, 0.0000, 0.0000
0.3210, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0452, -0.0026, -0.0842, 0.0001, 0.0009, 0.0018, 204, 46042, -0.0014, -0.0000, 0.0008, 0.0000, 1.0602, 0.0137, -0.6586, 0.0000, 0.0000, 0.0000
0.3410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0450, -0.0026, -0.0842, -0.0001, 0.0008, 0.0011, 205, 46042, -0.0015, -0.0000, 0.0009, 0.0000, 1.0602, 0.0137, -0.6586, 0.0000, 0.0000, 0.0000
